category,scenario,seed,success,episode_length,return,target_moves,obstacle_moves,successful_pushes,final_target_distance,final_obstacle_blocking
iid,iid_stage6,100000,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100001,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100002,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100003,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100004,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100005,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100006,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100007,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100008,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100009,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100010,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100011,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100012,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100013,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100014,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100015,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100016,0,200,-2.0000000000000013,0,1,1,7,3
iid,iid_stage6,100017,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100018,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100019,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100020,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100021,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100022,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100023,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100024,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100025,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100026,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100027,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100028,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100029,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100030,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100031,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100032,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100033,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100034,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100035,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100036,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100037,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100038,0,200,-2.0000000000000013,0,3,3,7,3
iid,iid_stage6,100039,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100040,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100041,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100042,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100043,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100044,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100045,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100046,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100047,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100048,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100049,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100050,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100051,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100052,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100053,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100054,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100055,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100056,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100057,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100058,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100059,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100060,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100061,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100062,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100063,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100064,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100065,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100066,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100067,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100068,0,200,-2.0000000000000013,0,0,0,7,3
