scenario,seed,action_mode,success,episode_length,return,target_moves,obstacle_moves,successful_pushes,final_target_distance,final_obstacle_blocking
iid_stage6,100000,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100001,deterministic,0,200,-1.7000000000000013,0,7,7,7,0
iid_stage6,100002,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100003,deterministic,0,200,-1.6000000000000012,2,0,2,5,3
iid_stage6,100004,deterministic,0,200,-1.7000000000000013,0,4,4,7,0
iid_stage6,100005,deterministic,0,200,-1.7000000000000013,0,4,4,7,0
iid_stage6,100006,deterministic,0,200,-1.7000000000000013,0,8,8,7,0
iid_stage6,100007,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100008,deterministic,0,200,-2.0000000000000013,0,2,2,7,3
iid_stage6,100009,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100010,deterministic,0,200,-1.7000000000000013,0,6,6,7,0
iid_stage6,100011,deterministic,0,200,-1.7000000000000013,0,7,7,7,0
iid_stage6,100012,deterministic,0,200,-1.7000000000000013,0,4,4,7,0
iid_stage6,100013,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100014,deterministic,0,200,-1.7000000000000013,0,6,6,7,0
iid_stage6,100015,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100016,deterministic,0,200,-2.0000000000000013,0,1,1,7,3
iid_stage6,100017,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100018,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100019,deterministic,0,200,-1.7000000000000013,0,6,6,7,0
iid_stage6,100020,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100021,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100022,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100023,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100024,deterministic,0,200,-1.7000000000000013,0,4,4,7,0
iid_stage6,100025,deterministic,0,200,-1.6000000000000012,2,0,2,5,3
iid_stage6,100026,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100027,deterministic,0,200,-1.7000000000000013,0,7,7,7,0
iid_stage6,100028,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100029,deterministic,0,200,-1.7000000000000013,0,7,7,7,0
iid_stage6,100030,deterministic,0,200,-1.7000000000000013,0,4,4,7,0
iid_stage6,100031,deterministic,0,200,-1.7000000000000013,0,4,4,7,0
iid_stage6,100032,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100033,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100034,deterministic,0,200,-1.7000000000000013,0,7,7,7,0
iid_stage6,100035,deterministic,0,200,-1.7000000000000013,0,7,7,7,0
iid_stage6,100036,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100037,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100038,deterministic,0,200,-2.0000000000000013,0,3,3,7,3
iid_stage6,100039,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100040,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100041,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100042,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100043,deterministic,0,200,-1.7000000000000013,0,8,8,7,0
iid_stage6,100044,deterministic,0,200,-1.6000000000000012,2,0,2,5,3
iid_stage6,100045,deterministic,0,200,-1.7000000000000013,0,4,4,7,0
iid_stage6,100046,deterministic,0,200,-1.7000000000000013,0,8,8,7,0
iid_stage6,100047,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100048,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
