scenario,seed,action_mode,success,episode_length,return,target_moves,obstacle_moves,successful_pushes,final_target_distance,final_obstacle_blocking
obstacle_left,100000,stochastic,1,45,11.149999999999999,7,6,13,0,0
obstacle_left,100001,stochastic,1,85,10.75,7,6,13,0,0
obstacle_left,100002,stochastic,1,79,10.809999999999999,7,8,15,0,0
obstacle_left,100003,stochastic,1,130,10.299999999999999,7,3,10,0,0
obstacle_left,100004,stochastic,1,56,11.04,7,6,13,0,0
obstacle_left,100005,stochastic,1,52,11.08,7,5,12,0,0
obstacle_left,100006,stochastic,1,67,10.93,7,6,13,0,0
obstacle_left,100007,stochastic,1,64,10.959999999999999,7,5,12,0,0
obstacle_left,100008,stochastic,1,73,10.87,7,7,14,0,0
obstacle_left,100009,stochastic,1,53,11.07,7,5,12,0,0
obstacle_left,100010,stochastic,1,67,10.93,7,8,15,0,0
obstacle_left,100011,stochastic,1,63,10.969999999999999,7,4,11,0,0
obstacle_left,100012,stochastic,1,104,10.559999999999999,7,7,14,0,0
obstacle_left,100013,stochastic,0,200,-0.6000000000000009,6,3,9,1,0
obstacle_left,100014,stochastic,1,44,11.16,7,6,13,0,0
obstacle_left,100015,stochastic,1,56,11.04,7,7,14,0,0
obstacle_left,100016,stochastic,1,170,9.899999999999999,7,6,13,0,0
obstacle_left,100017,stochastic,1,97,10.629999999999999,7,7,14,0,0
obstacle_left,100018,stochastic,1,56,11.04,7,3,10,0,0
obstacle_left,100019,stochastic,1,52,11.08,7,6,13,0,0
obstacle_left,100020,stochastic,1,128,10.319999999999999,7,7,14,0,0
obstacle_left,100021,stochastic,1,139,10.209999999999999,7,7,14,0,0
obstacle_left,100022,stochastic,1,66,10.94,7,7,14,0,0
obstacle_left,100023,stochastic,1,80,10.799999999999999,7,7,14,0,0
obstacle_left,100024,stochastic,1,82,10.78,7,8,15,0,0
obstacle_left,100025,stochastic,1,44,11.16,7,5,12,0,0
obstacle_left,100026,stochastic,1,52,11.079999999999998,7,7,14,0,0
obstacle_left,100027,stochastic,1,60,11.0,7,3,10,0,0
obstacle_left,100028,stochastic,1,50,11.1,7,6,13,0,0
obstacle_left,100029,stochastic,1,73,10.87,7,6,13,0,0
obstacle_left,100030,stochastic,1,56,11.04,7,6,13,0,0
