scenario,seed,action_mode,success,episode_length,return,target_moves,obstacle_moves,successful_pushes,final_target_distance,final_obstacle_blocking
iid_stage6,100000,stochastic,1,45,11.25,7,6,13,0,0
iid_stage6,100001,stochastic,1,78,10.919999999999998,7,5,12,0,0
iid_stage6,100002,stochastic,1,56,11.139999999999999,7,4,11,0,0
iid_stage6,100003,stochastic,1,49,11.209999999999999,7,4,11,0,0
iid_stage6,100004,stochastic,1,69,11.01,7,4,11,0,0
iid_stage6,100005,stochastic,1,25,11.45,7,3,10,0,0
iid_stage6,100006,stochastic,1,60,11.1,7,5,12,0,0
iid_stage6,100007,stochastic,1,31,11.389999999999999,7,4,11,0,0
iid_stage6,100008,stochastic,1,25,11.45,7,4,11,0,0
iid_stage6,100009,stochastic,1,66,11.04,7,4,11,0,0
iid_stage6,100010,stochastic,1,48,11.219999999999999,7,4,11,0,0
iid_stage6,100011,stochastic,0,200,-1.1000000000000012,3,9,12,4,0
iid_stage6,100012,stochastic,1,44,11.26,7,4,11,0,0
iid_stage6,100013,stochastic,1,82,10.879999999999999,7,5,12,0,0
iid_stage6,100014,stochastic,1,55,11.149999999999999,7,5,12,0,0
iid_stage6,100015,stochastic,0,200,-1.1000000000000012,3,7,10,4,0
iid_stage6,100016,stochastic,1,25,11.45,7,4,11,0,0
iid_stage6,100017,stochastic,1,81,10.889999999999999,7,4,11,0,0
iid_stage6,100018,stochastic,1,137,10.329999999999998,7,4,11,0,0
iid_stage6,100019,stochastic,1,41,11.29,7,3,10,0,0
iid_stage6,100020,stochastic,1,41,11.29,7,5,12,0,0
iid_stage6,100021,stochastic,1,40,11.299999999999999,7,6,13,0,0
iid_stage6,100022,stochastic,1,50,11.2,7,6,13,0,0
iid_stage6,100023,stochastic,1,45,11.25,7,4,11,0,0
iid_stage6,100024,stochastic,1,49,11.209999999999999,7,4,11,0,0
iid_stage6,100025,stochastic,1,53,11.17,7,4,11,0,0
iid_stage6,100026,stochastic,1,53,11.17,7,6,13,0,0
iid_stage6,100027,stochastic,1,28,11.42,7,4,11,0,0
iid_stage6,100028,stochastic,1,115,10.549999999999999,7,6,13,0,0
